Borough,Householder's Sex,Householder's Age,Householder's Race,Number of Persons form Temporary Residence,Most Recent Place Householder Lived for 6 Months or More,Year Householder Moved Into Unit ,Reason for Householder Moving,Place of Householder's Birth,Condo/Coop Status,Owner/Renter,Cash Rent/Rent Free,Down Payment,Down Payment Status,Value,Mortgage Status,Mortgage Origination Year,Mortgage Interest Rate,Insurance Paid Separately,Real Estate Taxes Paid Separately,Number of Units in Building,Owner Lives in Building,Number of Stories in Building,Number of Rooms ,Number of Bedrooms,Complete Plumbing Facilities ,Toilet Breakdowns,Complete Kitchen Facilities ,Kitchen Facilities Functioning,Type of Heating Fuel,Electricity Paid Separately,Electricity Monthly Cost ,Gas Paid Separately,Gas Monthly Cost ,Combined Gas/Electricity Monthly Cost,Water and Sewer Paid Separately,Water and Sewer Annual Cost,Other Fuels,Other Fuels Annual Cost ,Monthly Contract Ren,Length of Lease,Federal Section 8,Other Rental Subsidy,Out of Pocket Rent,Householder Moved to the United States as an Immigrant ,Year Householder Moved to the United States,Year Householder Moved to New York City,Control Status,Monthly Owner Cost,Monthly Gross Rent,Monthly Gross Rent per room,Monthly Contract Rent Per Room,Household Below Specified Income Level,Total Household Income,Income Flag,Monthly Gross Rent as Percent of Household Income,Monthly Contract Rent as Percent of Household Income
1,1,22,2,1,3,2016,2,6,14,1,9,9999999,9,9999999,9,9999,9999,9,9,8,2,3,5,4,1,2,1,1,2,1,110,1,120,9999,2,9999,3,99999,1800,2,2,2,1800,1,2000,2000,80,999999,2030,406,360,3,87000,0,280,248
1,2,73,2,1,3,2002,2,99,11,1,9,9999999,9,9999999,9,9999,9999,9,9,11,2,5,3,2,1,2,1,1,1,3,9999,2,9999,9999,2,9999,2,99999,1180,4,1,2,236,1,1989,1989,30,999999,1180,393,393,1,9500,0,1010,1010
1,1,67,2,1,3,2013,2,99,9,4,9,9999999,9,9999999,9,9999,9999,9,9,11,2,5,3,2,1,1,1,1,3,3,9999,2,9999,9999,2,9999,3,99999,1300,4,1,2,450,9,9999,9998,30,999999,1300,433,433,3,24100,0,647,647
1,2,41,1,1,3,2005,2,99,10,1,9,9999999,9,9999999,9,9999,9999,9,9,11,2,5,5,4,1,2,1,1,1,3,9999,2,9999,9999,2,9999,2,99999,1600,4,1,2,890,9,9999,1986,30,999999,1600,320,320,3,25760,0,745,745
1,1,36,1,1,3,2015,2,6,10,1,9,9999999,9,9999999,9,9999,9999,9,9,11,2,5,3,3,1,2,1,1,1,1,210,2,9999,9999,2,9999,2,99999,1625,4,2,2,1625,9,9999,9999,30,999999,1835,612,542,3,36400,0,605,536
1,1,46,1,1,6,2011,2,99,12,3,1,9999999,9,35000,2,9999,9999,3,3,11,1,4,3,2,1,2,1,1,1,2,9999,9,9999,125,2,9999,2,99999,99999,9,9,3,99999,9,9999,9999,2,675,99999,9999,9999,3,35700,0,9999,9999
1,1,67,2,1,3,1984,2,99,12,1,9,9999999,9,9999999,9,9999,9999,9,9,11,2,4,4,3,1,2,1,1,2,1,184,2,9999,9999,2,9999,3,99999,900,5,2,2,900,1,1969,1969,30,999999,1084,271,225,3,31812,0,409,339
1,2,56,1,1,9,2013,2,99,9,1,9,9999999,9,9999999,9,9999,9999,9,9,12,2,4,3,2,1,2,1,1,1,2,9999,9,9999,90,2,9999,2,99999,1000,2,2,2,1000,9,9999,9999,30,999999,1090,363,333,3,19332,0,677,621
1,2,31,2,1,3,2014,2,6,25,1,9,9999999,9,9999999,9,9999,9999,9,9,11,2,5,2,2,1,1,2,1,2,2,9999,9,9999,95,2,9999,3,99999,1130,2,2,2,1130,1,2003,2003,30,999999,1225,613,565,1,16400,0,896,827
1,2,53,9,1,4,2001,2,99,11,1,9,9999999,9,9999999,9,9999,9999,9,9,13,2,6,4,3,1,2,1,1,2,3,9999,2,9999,9999,2,9999,2,99999,451,2,8,2,99998,1,1991,1991,5,999999,451,113,113,3,52392,0,103,103
1,1,63,1,1,3,2009,2,99,10,1,9,9999999,9,9999999,9,9999,9999,9,9,13,2,6,4,3,1,2,1,1,1,3,9999,2,9999,9999,2,9999,2,99999,571,2,2,2,571,9,9999,1974,5,999999,571,143,143,3,56080,0,122,122
1,1,56,2,1,3,2000,2,99,7,1,9,9999999,9,9999999,9,9999,9999,9,9,11,2,5,6,5,1,2,1,1,2,3,9999,2,9999,9999,2,9999,3,99999,1052,3,2,2,1052,9,9999,9999,30,999999,1052,175,175,3,149000,0,85,85
1,1,56,2,1,3,1988,2,99,9,1,9,9999999,9,9999999,9,9999,9999,9,9,12,2,4,3,2,1,2,1,1,1,3,9999,2,9999,9999,2,9999,2,99999,1200,4,1,2,480,9,9999,9998,30,999999,1200,400,400,3,22160,0,650,650
1,1,85,1,1,3,1991,2,99,17,1,9,9999999,9,9999999,9,9999,9999,9,9,11,2,4,3,2,1,2,1,1,3,1,60,2,9999,9999,2,9999,3,99999,1200,2,1,2,480,1,1991,1991,30,999999,1260,420,400,3,19248,0,786,748
1,2,29,2,1,6,2010,2,99,7,1,9,9999999,9,9999999,9,9999,9999,9,9,11,2,4,3,2,1,2,1,1,2,3,9999,2,9999,9999,2,9999,3,99999,1234,2,2,1,385,9,9999,9999,30,999999,1234,411,411,1,8520,0,1010,1010
1,2,50,1,1,3,2011,2,99,98,1,9,9999999,9,9999999,9,9999,9999,9,9,6,2,1,3,2,1,2,1,1,3,1,115,1,35,9999,2,9999,3,99999,1200,2,8,2,99998,8,9998,9998,80,999999,1350,450,400,3,30040,0,539,479
1,1,36,2,1,3,2000,2,99,12,1,9,9999999,9,9999999,9,9999,9999,9,9,6,2,1,3,2,1,2,1,1,3,1,75,3,9999,9999,2,9999,3,99999,1180,2,1,2,236,8,9998,9998,80,999999,1255,418,393,1,9600,0,1010,1010
1,2,52,2,1,3,2015,2,19,7,1,9,9999999,9,9999999,9,9999,9999,9,9,6,2,1,3,2,1,2,1,1,3,2,9999,9,9999,160,2,9999,3,99999,1182,2,1,1,170,9,9999,9999,80,999999,1342,447,394,1,1200,0,1010,1010
1,2,64,1,1,3,1992,2,99,10,1,9,9999999,9,9999999,9,9999,9999,9,9,10,2,3,6,5,1,2,1,1,2,3,9999,2,9999,9999,2,9999,3,99999,256,4,2,2,256,9,9999,1957,5,999999,256,43,43,1,10632,0,289,289
1,1,65,3,1,3,2013,2,99,12,1,9,9999999,9,9999999,9,9999,9999,9,9,11,2,3,4,3,1,1,1,1,2,3,9999,2,9999,9999,2,9999,3,99999,442,4,2,2,442,1,9998,2013,5,999999,442,111,111,3,23340,0,227,227
1,1,43,2,1,3,1976,2,99,14,1,9,9999999,9,9999999,9,9999,9999,9,9,11,2,3,5,4,1,2,1,1,2,3,9999,2,9999,9999,2,9999,3,99999,250,2,2,2,250,9,9999,9999,5,999999,250,50,50,2,18792,0,160,160
1,1,71,1,1,3,1994,2,99,10,1,9,9999999,9,9999999,9,9999,9999,9,9,12,3,5,2,2,1,2,1,1,2,2,9999,9,9999,59,2,9999,2,99999,500,6,2,2,500,9,9999,1971,30,999999,559,280,250,2,14064,0,477,427
1,2,32,1,1,3,1994,2,99,11,3,9,9999999,9,9999999,9,9999,9999,9,9,12,3,5,3,2,1,2,1,1,2,1,100,2,9999,9999,2,9999,3,99999,900,2,2,2,900,1,1994,1994,30,999999,1000,333,300,3,50000,0,240,216
1,2,37,1,1,2,2016,2,10,10,3,9,9999999,9,9999999,9,9999,9999,9,9,12,1,5,3,2,1,2,1,1,2,1,200,2,9999,9999,2,9999,3,99999,500,2,2,2,500,9,9999,9999,30,999999,700,233,167,3,29232,0,287,205
1,2,47,1,2,4,2011,2,99,7,1,9,9999999,9,9999999,9,9999,9999,9,9,11,2,3,1,1,1,2,1,1,2,3,9999,2,9999,9999,2,9999,3,99999,1014,2,1,2,236,9,9999,9999,30,999999,1014,1014,1014,1,9864,0,1010,1010
1,2,58,1,1,3,2010,2,99,10,1,9,9999999,9,9999999,9,9999,9999,9,9,11,2,5,1,1,1,1,1,1,3,3,9999,3,9999,9999,2,9999,3,99999,1234,2,2,1,385,9,9999,1987,30,999999,1234,1234,1234,1,1250,0,1010,1010
1,1,53,2,1,3,2012,2,99,12,1,9,9999999,9,9999999,9,9999,9999,9,9,11,2,5,1,1,1,2,1,1,3,3,9999,3,9999,9999,2,9999,3,99999,1290,2,1,2,236,1,1988,2003,30,999999,1290,1290,1290,1,9864,0,1010,1010
1,1,48,2,2,5,2010,2,99,12,1,9,9999999,9,9999999,9,9999,9999,9,9,11,2,3,1,1,1,2,1,1,4,3,9999,2,9999,9999,2,9999,2,99999,762,2,1,2,281,1,1986,1986,30,999999,762,762,762,3,19896,0,460,460
1,2,44,1,1,3,1998,2,99,12,1,9,9999999,9,9999999,9,9999,9999,9,9,11,2,4,3,2,1,2,1,1,3,2,9999,9,9999,100,2,9999,2,99999,715,4,2,2,715,1,1996,1998,30,999999,815,272,238,3,42152,0,232,204
1,2,31,2,1,3,2014,2,14,7,1,9,9999999,9,9999999,9,9999,9999,9,9,11,2,4,2,2,1,2,1,1,2,1,60,2,9999,9999,2,9999,3,99999,800,4,2,2,800,9,9999,9999,30,999999,860,430,400,3,32000,0,323,300
1,1,31,2,1,3,2009,2,99,7,1,9,9999999,9,9999999,9,9999,9999,9,9,11,2,4,3,2,1,2,1,1,3,2,9999,9,9999,90,2,9999,2,99999,635,2,2,2,635,9,9999,9999,30,999999,725,242,212,3,23000,0,378,331
1,1,53,1,1,3,2007,1,99,10,1,9,9999999,9,9999999,9,9999,9999,9,9,11,2,4,2,2,1,2,1,1,3,1,100,2,9999,9999,2,9999,3,99999,715,4,2,2,715,9,9999,9999,30,999999,815,408,358,3,30000,0,326,286
1,1,48,1,1,4,2017,2,13,98,1,9,9999999,9,9999999,9,9999,9999,9,9,5,2,2,5,4,1,2,1,1,3,2,9999,9,9999,100,2,9999,3,99999,715,7,2,2,715,8,9998,9998,80,999999,815,163,143,3,81500,0,120,105
1,1,40,1,1,3,2013,2,99,14,1,9,9999999,9,9999999,9,9999,9999,9,9,5,2,2,4,4,1,2,1,1,2,2,9999,9,9999,200,2,9999,3,99999,1300,6,2,2,1300,1,1996,1996,80,999999,1500,375,325,2,36600,0,492,426
1,1,38,1,1,5,2012,2,99,10,1,9,9999999,9,9999999,9,9999,9999,9,9,5,2,2,3,2,1,2,1,1,1,1,80,2,9999,9999,2,9999,2,99999,1610,2,2,2,1610,9,9999,9998,80,999999,1690,563,537,3,52000,0,390,372
1,1,72,2,1,4,1996,2,99,10,3,1,9999999,9,60000,2,9999,9999,1,3,10,1,4,3,2,1,2,1,1,1,1,70,2,9999,9999,2,9999,2,99999,99999,9,9,3,99999,9,9999,1956,2,501,99999,9999,9999,3,16800,0,9999,9999
