Borough,Householder's Sex,Householder's Age,Householder's Race,Number of Persons form Temporary Residence,Most Recent Place Householder Lived for 6 Months or More,Year Householder Moved Into Unit ,Reason for Householder Moving,Place of Householder's Birth,Condo/Coop Status,Owner/Renter,Cash Rent/Rent Free,Down Payment,Down Payment Status,Value,Mortgage Status,Mortgage Origination Year,Mortgage Interest Rate,Insurance Paid Separately,Real Estate Taxes Paid Separately,Number of Units in Building,Owner Lives in Building,Number of Stories in Building,Number of Rooms ,Number of Bedrooms,Complete Plumbing Facilities ,Toilet Breakdowns,Complete Kitchen Facilities ,Kitchen Facilities Functioning,Type of Heating Fuel,Electricity Paid Separately,Electricity Monthly Cost ,Gas Paid Separately,Gas Monthly Cost ,Combined Gas/Electricity Monthly Cost,Water and Sewer Paid Separately,Water and Sewer Annual Cost,Other Fuels,Other Fuels Annual Cost ,Monthly Contract Ren,Length of Lease,Federal Section 8,Other Rental Subsidy,Out of Pocket Rent,Householder Moved to the United States as an Immigrant ,Year Householder Moved to the United States,Year Householder Moved to New York City,Control Status,Monthly Owner Cost,Monthly Gross Rent,Monthly Gross Rent per room,Monthly Contract Rent Per Room,Household Below Specified Income Level,Total Household Income,Income Flag,Monthly Gross Rent as Percent of Household Income,Monthly Contract Rent as Percent of Household Income
2,2,36,1,1,5,2001,2,99,9,1,9,9999999,9,9999999,9,9999,9999,9,9,7,2,2,3,2,1,2,1,1,2,1,90,2,9999,9999,2,9999,3,99999,1100,4,2,2,1100,9,9999,9999,80,999999,1190,397,367,3,85000,0,168,155
2,1,47,2,1,2,2016,2,17,11,1,9,9999999,9,9999999,9,9999,9999,9,9,8,2,5,3,3,1,2,1,1,2,1,100,1,20,9999,2,9999,3,99999,1300,4,2,2,1300,1,2011,2011,30,999999,1420,473,433,3,40000,0,426,390
2,2,69,2,1,4,2004,2,99,11,1,9,9999999,9,9999999,9,9999,9999,9,9,7,2,2,3,3,1,2,1,1,2,1,100,1,30,9999,2,9999,3,99999,1200,4,2,2,1200,1,1988,1988,80,999999,1330,443,400,3,44868,0,356,321
2,1,25,1,1,4,2013,2,99,9,1,9,9999999,9,9999999,9,9999,9999,9,9,8,2,2,3,3,1,2,1,1,4,1,80,1,60,9999,2,9999,2,99999,1850,2,2,2,1850,9,9999,2009,30,999999,1990,663,617,3,115500,0,207,192
2,2,30,1,1,4,2010,2,99,7,1,9,9999999,9,9999999,9,9999,9999,9,9,7,2,2,3,3,1,2,1,1,2,1,136,1,60,9999,2,9999,3,99999,2100,4,2,2,2100,9,9999,9999,30,999999,2296,765,700,3,60200,0,458,419
2,2,41,2,1,3,2011,2,99,11,1,9,9999999,9,9999999,9,9999,9999,9,9,8,2,2,4,3,1,1,1,1,2,1,100,2,9999,9999,2,9999,3,99999,810,4,2,2,810,1,1993,1993,30,999999,910,228,203,3,42980,0,254,226
2,2,43,2,1,2,2009,2,99,11,1,9,9999999,9,9999999,9,9999,9999,9,9,8,2,2,3,2,1,2,1,2,2,1,80,1,23,9999,2,9999,3,99999,906,4,2,2,906,1,1988,1988,30,999999,1009,336,302,3,46000,0,263,236
2,2,22,1,1,5,2016,2,16,9,1,9,9999999,9,9999999,9,9999,9999,9,9,8,2,3,5,5,1,2,1,1,2,1,100,1,40,9999,2,9999,3,99999,3400,2,2,2,3400,9,9999,2014,80,999999,3540,708,680,3,53500,0,794,763
2,1,20,1,1,5,2016,2,16,9,1,9,9999999,9,9999999,9,9999,9999,9,9,8,2,4,5,5,1,2,1,1,2,1,90,1,20,9999,2,9999,3,99999,4000,2,2,2,4000,9,9999,2015,80,999999,4110,822,800,1,9516,0,1010,1010
2,2,31,1,1,6,2015,2,6,9,1,9,9999999,9,9999999,9,9999,9999,9,9,8,2,3,3,3,1,2,1,1,2,1,100,1,50,9999,2,9999,3,99999,2400,2,2,2,2400,9,9999,2014,80,999999,2550,850,800,3,205000,0,149,140
2,1,27,1,1,4,2016,2,3,9,1,9,9999999,9,9999999,9,9999,9999,9,9,8,2,3,4,4,1,2,1,1,3,1,175,1,100,9999,2,9999,3,99999,2400,2,2,2,2400,9,9999,2014,30,999999,2675,669,600,3,179000,0,179,161
2,1,55,1,1,4,1999,2,99,7,1,9,9999999,9,9999999,9,9999,9999,9,9,6,8,2,4,3,1,2,1,1,2,1,100,2,9999,9999,2,9999,3,99999,550,4,1,2,150,9,9999,9999,80,999999,650,163,138,3,110000,0,71,60
2,2,37,2,1,98,2013,2,99,11,1,9,9999999,9,9999999,9,9999,9999,9,9,6,2,3,4,3,1,8,1,8,2,1,100,2,9999,9999,2,9999,3,99999,1300,8,2,2,1300,8,9998,9998,80,999999,1400,350,325,3,50000,0,336,312
2,2,64,2,1,4,2010,2,99,12,1,9,9999999,9,9999999,9,9999,9999,9,9,12,2,5,2,2,1,2,1,1,2,3,9999,2,9999,9999,2,9999,3,99999,649,2,2,2,649,1,1989,1989,5,999999,649,325,325,3,38894,0,200,200
2,2,69,1,1,4,1996,2,99,10,1,9,9999999,9,9999999,9,9999,9999,9,9,12,2,5,2,2,1,2,1,1,2,1,76,2,9999,9999,2,9999,2,99999,362,2,2,2,362,9,9999,1952,5,999999,438,219,181,2,18000,0,292,241
2,2,77,1,1,4,1981,1,99,14,1,9,9999999,9,9999999,9,9999,9999,9,9,12,2,5,6,5,1,2,1,1,2,1,58,2,9999,9999,2,9999,3,99999,362,2,2,2,362,8,1972,1981,5,999999,420,70,60,3,35052,0,144,124
2,2,59,2,1,4,1982,2,99,10,1,9,9999999,9,9999999,9,9999,9999,9,9,8,2,2,3,2,1,2,1,1,2,1,75,2,9999,9999,2,9999,3,99999,1500,2,1,2,175,9,9999,1961,80,999999,1575,525,500,1,9864,0,1010,1010
2,2,85,2,1,4,1995,2,99,10,1,9,9999999,9,9999999,9,9999,9999,9,9,8,2,2,3,2,1,2,1,1,1,1,45,2,9999,9999,2,9999,2,99999,181,2,2,2,181,9,9999,1960,80,999999,226,75,60,1,11061,0,245,196
2,2,82,3,1,1,1987,1,99,14,1,9,9999999,9,9999999,9,9999,9999,9,9,8,2,2,3,2,1,2,1,1,2,2,9999,9,9999,53,2,9999,3,99999,1300,2,1,2,181,1,1980,1980,80,999999,1353,451,433,3,17604,0,922,886
2,2,27,1,1,4,2012,2,99,9,1,9,9999999,9,9999999,9,9999,9999,9,9,6,2,2,3,3,1,2,1,1,2,1,45,1,40,9999,2,9999,3,99999,1750,2,2,2,1750,9,9999,2011,80,999999,1835,612,583,3,141600,0,156,148
2,2,24,1,1,4,2014,2,10,14,1,9,9999999,9,9999999,9,9999,9999,9,9,6,2,2,3,3,1,2,1,1,2,1,115,1,85,9999,2,9999,3,99999,1975,2,2,2,1975,9,9999,9999,80,999999,2175,725,658,3,115000,0,227,206
2,2,30,1,1,4,2012,2,99,9,1,9,9999999,9,9999999,9,9999,9999,9,9,6,2,2,3,3,1,2,1,1,2,1,50,1,100,9999,2,9999,3,99999,1800,2,2,2,1800,9,9999,2011,80,999999,1950,650,600,3,80000,0,293,270
2,1,29,1,1,5,2015,2,3,24,1,9,9999999,9,9999999,9,9999,9999,9,9,8,2,3,2,2,1,1,1,2,2,1,60,1,70,9999,2,9999,3,99999,2500,4,2,2,2500,9,9999,9999,80,999999,2630,1315,1250,1,3000,0,1010,1010
2,1,42,1,1,9,2008,2,99,14,1,9,9999999,9,9999999,9,9999,9999,9,9,8,2,3,2,2,1,2,1,2,2,1,70,1,60,9999,2,9999,3,99999,2500,4,2,2,2500,1,1988,2008,30,999999,2630,1315,1250,3,225000,0,140,133
2,2,50,2,1,1,2000,2,99,9,1,9,9999999,9,9999999,9,9999,9999,9,9,13,2,6,4,3,1,1,1,1,1,3,9999,3,9999,9999,2,9999,2,99999,348,2,2,2,348,9,9999,9999,5,999999,348,87,87,3,37200,0,112,112
2,1,75,1,1,4,2012,2,99,12,1,9,9999999,9,9999999,9,9999,9999,9,9,13,2,6,5,4,1,2,1,1,1,3,9999,2,9999,9999,2,9999,3,99999,593,2,2,2,593,1,1992,1992,5,999999,593,119,119,2,31000,0,230,230
2,1,43,2,1,1,2006,1,99,7,1,9,9999999,9,9999999,9,9999,9999,9,9,13,2,6,4,3,1,2,1,1,1,3,9999,2,9999,9999,2,9999,2,99999,593,2,2,2,593,9,9999,9999,5,999999,593,148,148,3,29252,0,243,243
2,2,70,2,1,4,1999,2,99,10,1,9,9999999,9,9999999,9,9999,9999,9,9,13,2,6,3,2,1,2,1,1,1,3,9999,2,9999,9999,2,9999,3,99999,223,2,2,2,223,9,9999,1990,5,999999,223,74,74,1,9116,0,294,294
2,2,74,1,1,1,1978,2,99,10,1,9,9999999,9,9999999,9,9999,9999,9,9,13,2,6,4,3,1,2,1,1,2,3,9999,2,9999,9999,2,9999,3,99999,606,2,2,2,606,9,9999,1952,5,999999,606,152,152,2,12780,0,569,569
2,2,28,2,1,6,2012,2,99,7,1,9,9999999,9,9999999,9,9999,9999,9,9,13,2,5,3,2,1,2,1,2,2,3,9999,2,9999,9999,2,9999,3,99999,400,2,2,2,400,9,9999,9999,5,999999,400,133,133,3,23500,0,204,204
2,1,68,1,1,4,1994,2,99,14,1,9,9999999,9,9999999,9,9999,9999,9,9,13,2,6,6,5,1,2,1,1,2,3,9999,2,9999,9999,2,9999,3,99999,695,2,2,2,695,1,1985,1985,5,999999,695,116,116,1,15268,0,546,546
2,1,84,1,2,4,2015,2,19,10,1,9,9999999,9,9999999,9,9999,9999,9,9,13,2,7,2,2,1,1,1,1,1,3,9999,2,9999,9999,2,9999,2,99999,285,2,2,2,285,9,9999,1947,5,999999,285,143,143,1,10392,0,329,329
2,2,35,1,9,98,2011,2,99,98,1,9,9999999,9,9999999,9,9999,9999,9,9,8,8,2,2,2,1,2,1,1,2,3,9999,2,9999,9999,2,9999,3,99999,600,6,2,2,600,8,9998,9998,30,999999,600,300,300,3,41000,0,176,176
2,2,26,1,1,4,2014,2,10,9,1,9,9999999,9,9999999,9,9999,9999,9,9,8,1,2,2,2,1,2,1,1,2,1,30,1,17,9999,2,9999,3,99999,1528,2,2,2,1528,9,9999,2010,30,999999,1575,788,764,3,120000,0,158,153
2,2,56,1,1,4,1977,2,99,10,1,9,9999999,9,9999999,9,9999,9999,9,9,9,2,3,3,2,1,1,1,1,4,3,9999,2,9999,9999,2,9999,2,99999,220,2,2,2,220,9,9999,9999,5,999999,220,73,73,2,13292,0,199,199
2,1,64,4,1,5,1999,2,99,18,1,9,9999999,9,9999999,9,9999,9999,9,9,8,2,3,2,2,1,2,1,1,2,3,9999,2,9999,9999,2,9999,2,99999,100,6,2,2,100,1,9998,9998,5,999999,100,50,50,3,32000,0,38,38
2,2,29,1,9,98,2015,2,98,98,1,9,9999999,9,9999999,9,9999,9999,9,9,6,2,2,3,2,1,8,1,8,2,1,45,1,55,9999,2,9999,3,99999,1500,8,2,2,1500,8,9998,9998,80,999999,1600,533,500,3,419000,0,46,43
2,2,28,1,1,4,2015,2,20,13,1,9,9999999,9,9999999,9,9999,9999,9,9,7,2,2,4,3,1,8,1,2,4,1,80,1,70,9999,2,9999,2,99999,1500,2,2,2,1500,8,9998,9998,80,999999,1650,413,375,3,35000,0,566,514
2,1,30,1,1,9,2014,2,1,14,1,9,9999999,9,9999999,9,9999,9999,9,9,8,2,2,3,2,1,2,1,1,2,1,120,1,40,9999,2,9999,3,99999,700,2,2,2,700,1,2010,2014,30,999999,860,287,233,3,56000,0,184,150
2,2,32,1,1,4,2015,2,5,9,1,9,9999999,9,9999999,9,9999,9999,9,9,7,2,2,3,2,1,2,1,1,4,1,120,1,70,9999,2,9999,2,99999,1900,2,2,2,1900,9,9999,2014,80,999999,2090,697,633,3,142000,0,177,161
2,2,85,3,1,4,2001,2,99,14,1,9,9999999,9,9999999,9,9999,9999,9,9,7,2,2,3,2,1,2,1,1,2,1,35,1,17,9999,2,9999,3,99999,788,2,1,2,217,1,1981,1981,30,999999,840,280,263,1,8400,0,1010,1010
2,1,27,1,1,8,2017,1,10,9,1,9,9999999,9,9999999,9,9999,9999,9,9,5,2,2,4,3,1,2,1,2,3,1,90,2,9999,9999,2,9999,3,99999,2300,2,2,2,2300,9,9999,2017,80,999999,2390,598,575,3,125000,0,229,221
2,1,73,1,1,4,1987,2,99,14,1,9,9999999,9,9999999,9,9999,9999,9,9,12,2,5,5,4,1,2,1,1,2,3,9999,2,9999,9999,2,9999,3,99999,653,2,2,2,653,1,1981,1981,5,999999,653,131,131,3,22968,0,341,341
2,2,79,2,1,1,2004,2,99,11,1,9,9999999,9,9999999,9,9999,9999,9,9,12,2,5,4,3,1,2,1,1,2,3,9999,2,9999,9999,2,9999,3,99999,499,2,2,2,499,1,1984,1984,5,999999,499,125,125,3,20400,0,294,294
2,2,85,10,1,2,1976,1,99,10,1,9,9999999,9,9999999,9,9999,9999,9,9,12,2,5,5,4,1,2,1,1,2,3,9999,2,9999,9999,2,9999,3,99999,683,2,2,2,683,9,9999,1954,5,999999,683,137,137,3,28080,0,292,292
2,2,60,1,1,1,2005,2,99,10,1,9,9999999,9,9999999,9,9999,9999,9,9,12,2,5,6,4,1,2,1,1,2,3,9999,2,9999,9999,2,9999,3,99999,336,2,2,2,336,9,9999,9999,5,999999,336,56,56,3,18468,0,218,218
2,1,81,10,1,4,1985,2,99,11,1,9,9999999,9,9999999,9,9999,9999,9,9,13,2,6,3,2,1,2,1,1,2,3,9999,2,9999,9999,2,9999,3,99999,466,2,2,2,466,1,1968,1968,5,999999,466,155,155,3,27800,0,201,201
2,2,72,10,1,9,1985,2,99,10,1,9,9999999,9,9999999,9,9999,9999,9,9,8,2,2,4,3,1,2,1,8,2,1,50,1,25,9999,2,9999,3,99999,624,4,2,2,624,9,9999,1982,30,999999,699,175,156,2,17560,0,478,426
2,1,31,1,1,4,2012,2,99,98,1,9,9999999,9,9999999,9,9999,9999,9,9,8,8,2,5,5,1,8,1,8,2,3,9999,2,9999,9999,2,9999,3,99999,2400,2,2,2,2400,8,9998,9998,30,999999,2400,480,480,3,92000,0,313,313
2,2,52,7,1,4,2002,2,99,98,1,9,9999999,9,9999999,9,9999,9999,9,9,11,2,2,5,5,1,8,1,8,1,3,9999,3,9999,9999,2,9999,2,99999,1263,2,2,1,166,8,9998,9998,80,999999,1263,253,253,3,60000,0,253,253
2,2,58,1,1,3,1981,1,99,10,1,9,9999999,9,9999999,9,9999,9999,9,9,8,2,2,5,4,1,2,1,1,2,1,130,2,9999,9999,2,9999,3,99999,3000,2,2,1,1200,9,9999,9999,80,999999,3130,626,600,3,60780,0,618,592
2,2,56,1,1,4,2009,2,99,7,1,9,9999999,9,9999999,9,9999,9999,9,9,8,2,2,2,2,1,2,1,1,2,1,90,1,120,9999,2,9999,3,99999,1200,4,2,2,1200,9,9999,9999,80,999999,1410,705,600,3,111000,0,152,130
2,2,41,1,1,4,2011,2,99,13,1,9,9999999,9,9999999,9,9999,9999,9,9,5,2,3,4,4,1,2,1,1,1,1,100,3,9999,9999,2,9999,2,99999,3500,7,2,2,3500,2,1980,1999,21,999999,3600,900,875,3,115000,0,376,365
2,1,52,1,1,4,2000,2,99,14,1,9,9999999,9,9999999,9,9999,9999,9,9,11,2,3,3,3,1,2,1,1,2,1,408,2,9999,9999,2,9999,3,99999,1800,2,2,2,1800,1,1990,1990,21,999999,2100,700,600,3,62000,0,406,348
2,1,30,1,9,98,2004,2,99,98,1,9,9999999,9,9999999,9,9999,9999,9,9,12,2,3,4,4,1,8,1,8,1,2,9999,9,9999,210,2,9999,2,99999,2125,8,8,2,2125,8,9998,9998,21,999999,2335,584,531,3,135000,0,208,189
2,1,21,2,1,4,1999,2,99,12,1,9,9999999,9,9999999,9,9999,9999,9,9,1,2,2,6,4,1,2,1,1,2,1,408,2,9999,9999,2,9999,3,99999,500,6,2,2,500,9,9999,9999,80,999999,800,133,83,1,10000,0,960,600
2,1,50,2,1,4,2013,2,99,12,1,1,80000,9,350000,2,9999,9999,1,1,1,1,1,5,4,1,1,1,1,2,1,75,1,120,9999,1,600,3,99999,99999,9,9,3,99999,1,9998,9998,1,588,99999,9999,9999,3,55000,0,9999,9999
2,1,48,1,1,4,2015,2,98,9,1,9,9999999,9,9999999,9,9999,9999,9,9,1,2,1,4,3,1,2,1,1,2,1,408,1,120,9999,1,3156,3,99999,99999,9,9,3,99999,9,9999,9999,80,999999,99999,9999,9999,3,40000,0,9999,9999
2,2,69,2,1,4,1990,1,99,12,1,9,9999999,9,9999999,9,9999,9999,9,9,1,2,1,5,4,1,2,1,1,2,1,100,1,150,9999,1,2000,3,99999,99999,9,9,3,99999,1,1970,1970,80,999999,99999,9999,9999,3,55000,0,9999,9999
2,2,68,7,1,4,2007,2,99,98,1,9,9999999,9,9999999,9,9999,9999,9,9,1,2,1,4,4,1,8,1,8,1,1,100,1,70,9999,2,9999,2,99999,1400,8,2,2,1400,8,9998,9998,80,999999,1570,393,350,3,65000,0,290,258
2,2,33,1,1,4,2006,2,99,14,1,9,9999999,9,9999999,9,9999,9999,9,9,3,1,1,8,4,1,2,1,1,1,1,408,1,200,9999,1,3156,2,99999,99999,9,9,3,99999,9,9999,9999,80,999999,99999,9999,9999,3,60000,0,9999,9999
2,2,34,1,1,6,2014,2,20,98,1,9,9999999,9,9999999,9,9999,9999,9,9,3,1,1,5,4,1,2,1,1,1,1,408,1,200,9999,2,9999,2,99999,1600,6,1,2,99998,8,9998,9998,80,999999,2800,560,320,3,30200,0,1010,636
2,1,59,2,1,4,1966,2,99,9,1,9,9999999,9,9999999,9,9999,9999,9,9,5,1,1,7,5,1,2,1,1,1,3,9999,3,9999,9999,2,9999,2,99999,99999,9,9,3,99999,9,9999,9999,90,999999,99999,9999,9999,3,56800,0,9999,9999
2,2,79,2,1,4,2011,2,99,12,1,9,9999999,9,9999999,9,9999,9999,9,9,3,1,1,6,4,1,2,1,1,2,1,56,2,9999,9999,2,9999,3,99999,1500,4,2,2,1500,1,1997,1997,80,999999,1556,259,250,3,25780,0,724,698
2,2,65,2,1,4,1979,1,99,12,1,1,9999999,9,767000,1,2010,500,1,1,3,1,2,5,4,1,2,1,2,2,1,200,1,344,9999,1,1517,3,99999,99999,9,9,3,99999,1,1979,1979,1,2276,99999,9999,9999,3,30386,0,9999,9999
2,1,60,2,1,4,2004,2,99,12,1,1,9999999,9,650000,1,2014,475,2,2,3,1,1,5,3,1,2,1,1,2,1,75,1,150,9999,1,2200,3,99999,99999,9,9,3,99999,1,1987,1987,1,2988,99999,9999,9999,3,141400,0,9999,9999
2,2,41,2,1,4,1998,2,99,7,1,9,9999999,9,9999999,9,9999,9999,9,9,8,2,2,2,2,1,2,1,1,2,1,112,1,56,9999,2,9999,2,99999,1262,2,2,2,1262,9,9999,9999,30,999999,1430,715,631,3,39000,0,440,388
2,2,67,10,1,4,1996,2,99,7,1,9,9999999,9,9999999,9,9999,9999,9,9,7,2,2,3,3,1,2,1,1,2,3,9999,1,56,9999,2,9999,3,99999,1300,4,1,2,125,9,9999,9999,80,999999,1356,452,433,3,40780,0,399,383
2,1,52,7,1,4,2015,2,18,21,1,9,9999999,9,9999999,9,9999,9999,9,9,3,2,2,6,5,1,2,1,1,2,3,9999,2,9999,9999,2,9999,3,99999,1200,2,2,2,1200,1,1999,1999,80,999999,1200,200,200,3,64000,0,225,225
2,1,30,7,1,4,2015,2,18,21,1,9,9999999,9,9999999,9,9999,9999,9,9,3,2,2,2,2,1,2,1,1,2,3,9999,2,9999,9999,2,9999,3,99999,99999,9,9,3,99999,1,1999,1999,80,999999,99999,9999,9999,3,77000,0,9999,9999
2,2,78,7,1,5,1990,2,99,24,1,1,9999999,9,350000,2,9999,9999,8,8,1,1,2,8,5,1,2,1,1,2,1,75,1,150,9999,1,2200,3,99999,99999,9,9,3,99999,1,1954,1954,1,408,99999,9999,9999,3,74600,0,9999,9999
2,1,74,2,1,4,1977,2,99,9,1,1,9999999,9,500000,1,2010,487,1,1,3,1,1,5,3,1,2,1,1,2,1,200,1,120,9999,1,700,3,99999,99999,9,9,3,99999,9,9999,9998,1,1712,99999,9999,9999,1,9999999,0,9999,9999
2,2,52,1,1,4,1979,2,99,9,1,9,9999999,9,9999999,9,9999,9999,9,9,3,1,1,5,3,1,1,1,1,2,1,100,2,9999,9999,2,9999,3,99999,800,6,2,2,800,9,9999,9999,80,999999,900,180,160,3,18000,0,600,533
2,1,50,1,1,4,2002,2,99,9,1,1,9999999,9,550000,1,2002,405,2,2,3,1,1,6,4,1,2,1,8,2,2,9999,9,9999,250,1,1200,3,99999,99999,9,9,3,99999,9,9999,9998,1,1150,99999,9999,9999,3,118560,0,9999,9999
2,1,47,1,1,4,2003,2,99,11,1,9,9999999,9,9999999,9,9999,9999,9,9,3,2,1,5,3,1,2,1,1,2,1,90,1,35,9999,2,9999,3,99999,1150,2,2,2,1150,8,9998,9998,80,999999,1275,255,230,3,62000,0,247,223
2,1,81,2,1,4,2007,1,99,98,1,9,9999999,9,9999999,9,9999,9999,9,9,1,2,1,5,3,1,2,1,1,2,1,133,1,82,9999,1,3156,3,99999,99999,9,9,3,99999,9,9999,1982,80,999999,99999,9999,9999,3,21000,0,9999,9999
2,2,85,1,1,4,1971,2,99,7,1,1,9999999,9,325000,1,2007,789,2,2,3,1,2,5,4,1,2,1,1,2,1,90,1,175,9999,1,400,3,99999,99999,9,9,3,99999,9,9999,9999,1,1698,99999,9999,9999,3,43250,0,9999,9999
2,1,39,1,1,4,1978,2,99,7,1,1,9999999,9,514000,1,2009,400,2,1,3,1,2,3,3,1,2,1,1,2,1,150,1,200,9999,1,750,3,99999,99999,9,9,3,99999,9,9999,9999,1,2096,99999,9999,9999,3,90000,0,9999,9999
2,2,56,2,9,2,1998,2,99,12,1,9,9999999,9,9999999,9,9999,9999,9,9,4,1,1,3,2,1,2,1,1,3,1,50,1,18,9999,2,9999,3,99999,700,6,2,2,700,1,1994,1994,80,999999,768,256,233,3,50000,0,184,168
2,1,32,7,1,14,2007,2,99,21,1,9,9999999,9,9999999,9,9999,9999,9,9,4,2,1,3,2,1,2,1,1,2,1,85,2,9999,9999,2,9999,3,99999,1450,4,2,2,1450,1,2007,2007,80,999999,1535,512,483,3,136000,0,135,128
2,2,45,7,1,14,2013,2,99,21,1,9,9999999,9,9999999,9,9999,9999,9,9,4,2,1,1,1,1,1,1,1,2,1,80,1,25,9999,2,9999,3,99999,1050,2,2,2,1050,1,2013,2013,80,999999,1155,1155,1050,1,18200,0,762,692
2,1,34,7,1,14,2016,2,2,21,1,9,9999999,9,9999999,9,9999,9999,9,9,4,2,1,4,3,1,2,1,1,2,3,9999,2,9999,9999,2,9999,3,99999,1800,2,2,2,1800,1,2016,2016,80,999999,1800,450,450,3,39000,0,554,554
2,2,27,7,1,14,2014,2,14,21,1,9,9999999,9,9999999,9,9999,9999,9,9,4,2,1,1,1,1,2,1,1,2,1,50,1,50,9999,2,9999,3,99999,1350,2,2,2,1350,8,2011,2011,80,999999,1450,1450,1350,1,19000,0,916,853
2,1,45,2,1,4,2001,2,99,12,1,1,9999999,9,400000,1,2001,375,2,2,3,1,1,6,5,1,2,1,1,1,2,9999,9,9999,110,1,900,1,1200,99999,9,9,3,99999,1,9998,9998,1,3285,99999,9999,9999,3,100000,0,9999,9999
2,1,54,2,1,4,2000,2,99,11,1,1,9999999,9,450000,1,2002,550,2,2,1,1,2,3,3,2,2,1,2,2,1,220,1,344,9999,1,1500,3,99999,99999,9,9,3,99999,1,1981,1981,1,3045,99999,9999,9999,3,50000,0,9999,9999
2,1,70,1,1,4,2012,2,99,10,1,9,9999999,9,9999999,9,9999,9999,9,9,1,2,2,2,2,2,2,1,1,2,3,9999,2,9999,9999,2,9999,3,99999,1100,6,2,2,1100,9,9999,9998,80,999999,1100,550,550,3,36500,0,362,362
2,1,54,10,1,4,2000,2,99,10,1,1,9999999,9,500000,1,2000,613,2,2,3,1,1,4,3,1,2,1,1,2,1,220,1,100,9999,2,9999,3,99999,99999,9,9,3,99999,9,9999,1989,1,1880,99999,9999,9999,3,80000,0,9999,9999
2,2,61,2,1,4,2003,1,99,12,1,1,9999999,9,500000,1,2003,403,2,2,3,1,1,4,3,1,2,1,1,2,1,160,1,147,9999,1,1500,3,99999,99999,9,9,3,99999,1,1995,1995,1,2532,99999,9999,9999,1,9999999,0,9999,9999
2,1,54,2,1,4,2003,1,99,12,1,1,9999999,9,400000,1,9998,9998,8,2,3,1,1,3,2,1,2,1,1,2,1,408,1,100,9999,2,9999,3,99999,99999,9,9,3,99999,1,1999,1999,1,1620,99999,9999,9999,3,84000,0,9999,9999
2,1,46,2,1,4,2003,1,99,9,1,1,9999999,9,600000,1,2003,570,2,2,3,1,1,6,4,1,2,1,1,2,1,250,1,344,9999,1,3156,3,99999,99999,9,9,3,99999,9,9999,9999,1,3036,99999,9999,9999,3,96000,0,9999,9999
2,2,51,2,1,4,2014,2,11,12,1,9,9999999,9,9999999,9,9999,9999,9,9,3,1,1,5,4,1,2,1,1,2,1,112,1,52,9999,2,9999,3,99999,1500,2,2,2,1500,1,1992,1992,80,999999,1664,333,300,3,55000,0,363,327
2,2,64,2,1,6,2002,1,99,98,1,1,9999999,9,500000,1,2008,400,1,1,3,1,1,5,4,1,2,1,1,2,1,120,1,85,9999,1,3156,3,99999,99999,9,9,3,99999,8,9998,9998,1,5213,99999,9999,9999,3,95000,0,9999,9999
2,2,64,2,1,6,2001,1,99,12,1,1,9999999,9,500000,1,2008,400,1,1,3,1,1,5,4,1,8,1,8,1,1,120,1,85,9999,1,3156,1,1200,99999,9,9,3,99999,1,1980,1980,1,5313,99999,9999,9999,3,60500,0,9999,9999
2,2,76,2,1,4,2004,2,99,9,1,9,9999999,9,9999999,9,9999,9999,9,9,8,2,2,4,3,1,1,1,2,2,1,66,1,17,9999,2,9999,3,99999,1468,4,1,2,168,9,9999,1962,30,999999,1551,388,367,2,11880,0,1010,1010
2,2,48,2,1,4,2014,2,11,9,1,9,9999999,9,9999999,9,9999,9999,9,9,8,2,2,6,4,1,1,1,1,2,1,60,1,60,9999,2,9999,3,99999,1500,2,1,2,500,9,9999,1980,30,999999,1620,270,250,1,12700,0,1010,1010
2,1,61,8,1,4,1988,2,99,24,1,1,9999999,9,400000,2,9999,9999,1,1,3,1,1,7,5,1,2,1,1,2,1,225,1,170,9999,2,9999,3,99999,99999,9,9,3,99999,1,1960,1986,1,528,99999,9999,9999,3,84000,0,9999,9999
2,1,43,2,1,4,2007,2,99,12,2,1,9999999,9,114000,1,2007,612,2,2,12,1,6,1,1,1,2,1,1,2,1,35,2,9999,9999,2,9999,3,99999,99999,9,9,3,99999,9,9999,9999,12,845,99999,9999,9999,3,75000,0,9999,9999
2,1,40,2,1,4,2007,2,99,12,2,9,9999999,9,9999999,9,9999,9999,9,9,12,2,5,1,1,1,2,1,1,3,3,9999,2,9999,9999,2,9999,2,99999,950,4,2,2,950,1,1979,1979,80,999999,950,950,950,1,9999999,0,0,0
2,1,63,2,1,4,1998,2,99,7,2,1,9999999,9,165000,1,1998,628,2,2,12,1,5,2,2,1,2,1,1,2,3,9999,2,9999,9999,2,9999,3,99999,99999,9,9,3,99999,9,9999,9999,12,1102,99999,9999,9999,3,30000,0,9999,9999
2,2,60,2,1,5,1985,2,99,9,3,1,9999999,9,400000,1,2015,350,1,1,1,1,1,5,5,1,2,1,1,2,2,9999,9,9999,110,2,9999,3,99999,99999,9,9,3,99999,9,9999,9999,2,1260,99999,9999,9999,1,9999999,0,9999,9999
2,1,49,2,1,4,2014,2,14,7,1,1,9999998,8,450000,1,2014,430,2,2,3,1,1,5,4,1,2,1,1,2,1,158,1,103,9999,1,1000,3,99999,99999,9,9,3,99999,9,9999,9999,1,2709,99999,9999,9999,3,70000,0,9999,9999
